STATES,Crop,Annual_Rain,Avg_Temperature
ANDAMAN & NICOBAR ISLANDS,Arecanut,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Other Kharif pulses,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Rice,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Banana,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Cashewnut,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Coconut ,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Dry ginger,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Sugarcane,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Sweet potato,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,Tapioca,2763.2,24.6
ANDAMAN & NICOBAR ISLANDS,other oilseeds,2763.2,24.6
ANDHRA PRADESH,Arhar/Tur,931.8,24.6
ANDHRA PRADESH,Bajra,931.8,24.6
ANDHRA PRADESH,Castor seed,931.8,24.6
ANDHRA PRADESH,Cotton(lint),931.8,24.6
ANDHRA PRADESH,Dry chillies,931.8,24.6
ANDHRA PRADESH,Gram,931.8,24.6
ANDHRA PRADESH,Groundnut,931.8,24.6
ANDHRA PRADESH,Horse-gram,931.8,24.6
ANDHRA PRADESH,Jowar,931.8,24.6
ANDHRA PRADESH,Korra,931.8,24.6
ANDHRA PRADESH,Maize,931.8,24.6
ANDHRA PRADESH,Moong,931.8,24.6
ANDHRA PRADESH,Onion,931.8,24.6
ANDHRA PRADESH,Other Kharif pulses,931.8,24.6
ANDHRA PRADESH,other misc. pulses,931.8,24.6
ANDHRA PRADESH,Ragi,931.8,24.6
ANDHRA PRADESH,Rice,931.8,24.6
ANDHRA PRADESH,Samai,931.8,24.6
ANDHRA PRADESH,Sesamum,931.8,24.6
ANDHRA PRADESH,Small millets,931.8,24.6
ANDHRA PRADESH,Sunflower,931.8,24.6
ANDHRA PRADESH,Urad,931.8,24.6
ANDHRA PRADESH,Linseed,931.8,24.6
ANDHRA PRADESH,Safflower,931.8,24.6
ANDHRA PRADESH,Wheat,931.8,24.6
ANDHRA PRADESH,Arecanut,931.8,24.6
ANDHRA PRADESH,Banana,931.8,24.6
ANDHRA PRADESH,Coconut ,931.8,24.6
ANDHRA PRADESH,Coriander,931.8,24.6
ANDHRA PRADESH,Potato,931.8,24.6
ANDHRA PRADESH,Sugarcane,931.8,24.6
ANDHRA PRADESH,Sweet potato,931.8,24.6
ANDHRA PRADESH,Tobacco,931.8,24.6
ANDHRA PRADESH,Turmeric,931.8,24.6
ANDHRA PRADESH,Mesta,931.8,24.6
ANDHRA PRADESH,Other  Rabi pulses,931.8,24.6
ANDHRA PRADESH,Rapeseed &Mustard,931.8,24.6
ANDHRA PRADESH,Cashewnut,931.8,24.6
ANDHRA PRADESH,Tapioca,931.8,24.6
ANDHRA PRADESH,Niger seed,931.8,24.6
ANDHRA PRADESH,Varagu,931.8,24.6
ANDHRA PRADESH,Dry ginger,931.8,24.6
ARUNACHAL PRADESH,Maize,2596.8,24.6
ARUNACHAL PRADESH,Rice,2596.8,24.6
ARUNACHAL PRADESH,Small millets,2596.8,24.6
ARUNACHAL PRADESH,Wheat,2596.8,24.6
ARUNACHAL PRADESH,Dry chillies,2596.8,24.6
