,STATES,District_Name,Crop_Year,Season,Crop
27,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice
28,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut
29,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana
30,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper
31,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut
32,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut 
33,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies
34,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger
35,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice
140,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Arecanut
141,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana
142,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Black pepper
143,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Cashewnut
144,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut 
145,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry chillies
146,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry ginger
147,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,other oilseeds
148,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane
438,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Arhar/Tur
439,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Bajra
440,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Castor seed
441,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Cotton(lint)
442,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Dry chillies
443,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Groundnut
444,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Horse-gram
445,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Jowar
446,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Korra
447,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Maize
448,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Moong(Green Gram)
449,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Onion
450,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Other Kharif pulses
451,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Ragi
452,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Rice
453,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Samai
454,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Small millets
455,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Soyabean
456,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Sunflower
457,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Urad
458,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Bajra
459,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Dry chillies
460,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Gram
461,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Groundnut
462,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Horse-gram
463,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Jowar
464,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Linseed
465,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Maize
466,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Moong(Green Gram)
467,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Onion
468,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Other  Rabi pulses
469,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Ragi
470,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Rice
471,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Safflower
472,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Small millets
473,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Wheat
474,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Arecanut
475,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Banana
476,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Bhindi
477,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Brinjal
478,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Citrus Fruit
479,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Coconut 
480,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Coriander
481,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Cucumber
482,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Grapes
483,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Mango
484,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Orange
485,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Other Fresh Fruits
486,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Other Vegetables
487,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Papaya
488,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Pome Fruit
489,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Sugarcane
490,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Sweet potato
491,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Tobacco
492,Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Tomato
1223,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Arhar/Tur
1224,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Bajra
1225,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Castor seed
1226,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Dry chillies
1227,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Groundnut
1228,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Horse-gram
1229,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Jowar
1230,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Korra
1231,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Maize
1232,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Mesta
1233,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Moong(Green Gram)
1234,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Onion
1235,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Other Kharif pulses
1236,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Ragi
1237,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Rice
1238,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Samai
1239,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Sesamum
1240,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Small millets
1241,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Sunflower
1242,Andhra Pradesh,CHITTOOR,2003,Kharif     ,Urad
1243,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Arhar/Tur
1244,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Bajra
1245,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Dry chillies
1246,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Groundnut
1247,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Horse-gram
1248,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Jowar
1249,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Linseed
1250,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Maize
1251,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Moong(Green Gram)
1252,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Onion
1253,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Other  Rabi pulses
1254,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Ragi
1255,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Rice
1256,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Sesamum
1257,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Urad
1258,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Wheat
1259,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Banana
1260,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Beans & Mutter(Vegetable)
1261,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Bhindi
1262,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Brinjal
1263,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Cabbage
1264,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Cashewnut
1265,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Citrus Fruit
1266,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Coconut 
1267,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Coriander
1268,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Cucumber
1269,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Grapes
1270,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Mango
1271,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Orange
1272,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Other Fresh Fruits
1273,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Other Vegetables
1274,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Papaya
1275,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Pome Fruit
1276,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Potato
1277,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Sugarcane
1278,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Sweet potato
1279,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Tobacco
1280,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Tomato
1281,Andhra Pradesh,CHITTOOR,2003,Whole Year ,Turmeric
2016,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Arhar/Tur
2017,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Bajra
2018,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Cotton(lint)
2019,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Dry chillies
2020,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Groundnut
2021,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Jowar
2022,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Korra
2023,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Maize
2024,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Mesta
2025,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Moong(Green Gram)
2026,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Niger seed
2027,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Onion
2028,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Other Kharif pulses
2029,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Ragi
2030,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Rice
2031,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Samai
2032,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Sesamum
2033,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Small millets
