STATES,District_Name,Season,Crop,Annual_Rain,Avg_Temperature
andaman and nicobar islands,NICOBARS,Kharif     ,Rice,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Kharif     ,Rice,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,Arecanut,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Arecanut,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,Banana,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Banana,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,Black pepper,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Black pepper,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,Cashewnut,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Cashewnut,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,Coconut ,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Coconut ,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,Dry chillies,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Dry chillies,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,Dry ginger,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Dry ginger,931.8,24.6
andaman and nicobar islands,NICOBARS,Whole Year ,other oilseeds,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,other oilseeds,931.8,24.6
andaman and nicobar islands,SOUTH ANDAMANS,Whole Year ,Sugarcane,931.8,24.6
andhra pradesh,ANANTAPUR,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,CHITTOOR,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,CHITTOOR,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,EAST GODAVARI,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,GUNTUR,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,GUNTUR,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,KADAPA,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,KADAPA,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,KRISHNA,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,KURNOOL,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,KURNOOL,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,PRAKASAM,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,PRAKASAM,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,SPSR NELLORE,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,SPSR NELLORE,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,SRIKAKULAM,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,VISAKHAPATANAM,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,VISAKHAPATANAM,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,VIZIANAGARAM,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,WEST GODAVARI,Kharif     ,Arhar/Tur,931.8,24.6
andhra pradesh,WEST GODAVARI,Rabi       ,Arhar/Tur,931.8,24.6
andhra pradesh,ANANTAPUR,Kharif     ,Bajra,931.8,24.6
andhra pradesh,ANANTAPUR,Rabi       ,Bajra,931.8,24.6
andhra pradesh,CHITTOOR,Kharif     ,Bajra,931.8,24.6
andhra pradesh,CHITTOOR,Rabi       ,Bajra,931.8,24.6
andhra pradesh,EAST GODAVARI,Kharif     ,Bajra,931.8,24.6
andhra pradesh,GUNTUR,Kharif     ,Bajra,931.8,24.6
andhra pradesh,GUNTUR,Rabi       ,Bajra,931.8,24.6
andhra pradesh,KADAPA,Kharif     ,Bajra,931.8,24.6
andhra pradesh,KADAPA,Rabi       ,Bajra,931.8,24.6
andhra pradesh,KRISHNA,Kharif     ,Bajra,931.8,24.6
andhra pradesh,KURNOOL,Kharif     ,Bajra,931.8,24.6
andhra pradesh,KURNOOL,Rabi       ,Bajra,931.8,24.6
andhra pradesh,PRAKASAM,Kharif     ,Bajra,931.8,24.6
andhra pradesh,PRAKASAM,Rabi       ,Bajra,931.8,24.6
andhra pradesh,SPSR NELLORE,Kharif     ,Bajra,931.8,24.6
andhra pradesh,SPSR NELLORE,Rabi       ,Bajra,931.8,24.6
andhra pradesh,SRIKAKULAM,Kharif     ,Bajra,931.8,24.6
andhra pradesh,VISAKHAPATANAM,Kharif     ,Bajra,931.8,24.6
andhra pradesh,VIZIANAGARAM,Kharif     ,Bajra,931.8,24.6
andhra pradesh,WEST GODAVARI,Kharif     ,Bajra,931.8,24.6
andhra pradesh,ANANTAPUR,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,CHITTOOR,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,GUNTUR,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,KADAPA,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,KRISHNA,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,KURNOOL,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,PRAKASAM,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,SPSR NELLORE,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,VISAKHAPATANAM,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,VIZIANAGARAM,Kharif     ,Castor seed,931.8,24.6
andhra pradesh,ANANTAPUR,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,EAST GODAVARI,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,GUNTUR,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,KADAPA,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,KRISHNA,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,KURNOOL,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,PRAKASAM,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,SPSR NELLORE,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,SRIKAKULAM,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,VISAKHAPATANAM,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,VIZIANAGARAM,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,WEST GODAVARI,Kharif     ,Cotton(lint),931.8,24.6
andhra pradesh,ANANTAPUR,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,ANANTAPUR,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,CHITTOOR,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,CHITTOOR,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,EAST GODAVARI,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,EAST GODAVARI,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,GUNTUR,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,GUNTUR,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,KADAPA,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,KADAPA,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,KRISHNA,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,KRISHNA,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,KURNOOL,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,KURNOOL,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,PRAKASAM,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,PRAKASAM,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,SPSR NELLORE,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,SPSR NELLORE,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,SRIKAKULAM,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,SRIKAKULAM,Rabi       ,Dry chillies,931.8,24.6
andhra pradesh,VISAKHAPATANAM,Kharif     ,Dry chillies,931.8,24.6
andhra pradesh,VISAKHAPATANAM,Rabi       ,Dry chillies,931.8,24.6
